code;location;registered;envelopes;valid;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
588474;HornÌ LapaË;211;141;139;9;0;0;8;0;5;17;1;0;2;0;0;4;0;0;32;0;0;34;2;1;0;23;1
588482;Hoötice;125;87;87;2;0;0;9;0;3;18;0;1;6;0;0;2;0;0;16;0;0;1;1;0;0;28;0
588491;HulÌn;5†699;3†284;3†245;419;7;0;217;3;89;301;31;23;52;7;6;198;5;50;1†016;1;9;213;16;9;8;549;16
588504;Chom˝û;298;191;191;5;0;0;11;0;4;13;1;0;3;0;1;18;0;4;68;0;0;25;0;0;0;38;0
588512;ChropynÏ;4†068;2†445;2†406;175;7;2;170;2;62;280;35;20;26;4;2;143;0;34;856;6;5;94;25;4;17;424;13
506737;ChvalËov;1†397;862;858;98;2;1;42;0;39;53;20;3;17;0;6;53;1;19;278;1;0;49;7;0;1;164;4
588547;Chvalnov-LÌsky;199;114;114;10;0;0;7;0;5;12;0;0;2;0;0;10;0;7;22;0;1;18;0;0;1;17;2
588555;Jankovice;312;215;213;14;0;1;16;0;10;12;4;1;7;0;0;22;0;7;59;2;0;16;0;0;1;40;1
588563;JarohnÏvice;240;164;164;17;0;0;20;0;1;11;3;1;3;0;0;12;1;6;45;0;0;18;1;0;0;25;0
587354;KarolÌn;193;126;125;7;2;0;9;0;4;10;2;0;1;0;0;21;0;4;29;0;2;18;0;0;0;16;0
588598;Kom·rno;258;171;171;11;0;0;23;0;15;8;1;1;1;0;2;10;0;0;39;0;2;34;0;1;0;21;2
588601;KoryËany;2†292;1†277;1†270;80;1;0;147;2;70;204;7;16;21;4;1;100;0;26;320;1;2;92;2;5;6;160;3
588521;Kostelany;514;323;319;20;6;0;20;0;11;30;3;7;1;0;0;24;0;14;111;0;0;24;0;2;4;41;1
588610;Kostelec u Holeöova;821;507;503;39;1;0;36;0;12;49;3;2;5;0;1;27;2;9;147;0;4;79;1;0;2;82;2
588296;KromÏ¯Ìû;24†150;14†796;14†650;1†450;37;9;1†118;14;499;1†231;266;75;218;7;60;1†347;15;526;4†409;6;18;1†172;102;33;26;1†940;72
588628;Kunkovice;60;38;36;1;0;0;1;0;1;5;0;0;1;0;0;4;0;1;10;0;0;4;0;0;0;8;0
588636;Kurovice;216;154;153;6;0;0;9;0;6;19;0;0;2;0;0;2;0;3;82;0;0;16;0;0;0;8;0
588644;Kvasice;1†832;1†091;1†084;98;1;2;75;0;53;88;17;10;10;1;0;74;0;24;383;0;0;91;7;2;1;141;6
588652;Kyselovice;403;246;244;15;0;0;10;1;16;33;1;2;3;0;0;14;0;8;79;0;1;35;1;0;1;24;0
588661;Lechotice;319;185;183;6;0;0;13;0;3;7;1;0;3;0;0;10;0;3;71;0;0;23;7;0;0;33;3
588695;LitenËice;384;238;236;6;1;0;17;0;67;26;4;2;2;3;0;15;0;5;51;0;0;15;0;0;0;20;2
588709;Loukov;771;465;464;33;0;0;25;0;56;31;6;1;10;1;0;30;0;9;112;0;0;51;4;2;0;93;0
588717;Lubn·;365;218;217;22;0;0;5;0;9;16;2;1;2;0;0;14;0;4;71;0;0;19;1;0;0;50;1
588725;Ludslavice;402;246;243;21;0;0;12;0;9;16;3;5;3;0;1;9;0;9;79;0;0;34;5;0;1;35;1
588733;Lutopecny;480;310;306;18;1;0;21;0;14;37;3;1;0;0;0;18;0;7;96;0;0;46;0;0;0;41;3
588741;Martinice;602;410;410;26;0;0;29;0;21;27;4;2;8;0;1;33;0;8;132;1;0;48;4;0;1;64;1
588750;MÌökovice;498;329;329;39;0;0;13;0;19;16;4;2;8;0;0;16;0;5;94;1;0;42;1;1;0;65;3
